NAME	SP_AB	SP_H	SP_AVG	U_AB	U_H	U_AVG
Larry	300	98	327	300	103	343
Moe	300	84	280	300	68	227
Curly	300	102	340	300	79	263
Harold	300	102	340	300	88	293
Harvey	300	83	277	300	94	313
Lee	300	90	300	300	91	303
Charles	300	98	327	300	85	283
Bill	300	74	247	300	68	227
Bob	300	92	307	300	69	230
Rick	300	95	317	300	85	283
Burt	300	97	323	300	92	307
Lynn	300	89	297	300	94	313
Marvin	300	92	307	300	91	303
Randy	300	94	313	300	88	293
Tom	300	98	327	300	84	280
Joseph	300	99	330	300	82	273
Jimmy	300	116	387	300	107	357
Bret	300	87	290	300	74	247
Britt	300	87	290	300	76	253
Clark	300	94	313	300	75	250
